[TILES] {
    -1,0: 43
    -1,1: 0
    -1,10: 3
    -1,11: 214
    -1,12: 210
    -1,13: 214
    -1,2: 214
    -1,3: 214
    -1,4: 210
    -1,5: 210
    -1,6: 214
    -1,7: 66
    -1,8: 71
    -1,9: 42
    -2,0: 64
    -2,1: 232
    -2,10: 232
    -2,11: 65
    -2,12: 214
    -2,13: 210
    -2,2: 214
    -2,3: 214
    -2,4: 214
    -2,5: 214
    -2,6: 210
    -2,7: 214
    -2,8: 49
    -2,9: 9
    -3,0: 42
    -3,1: 3
    -3,10: 10
    -3,11: 42
    -3,12: 3
    -3,13: 210
    -3,2: 214
    -3,3: 214
    -3,4: 214
    -3,5: 214
    -3,6: 210
    -3,7: 210
    -3,8: 214
    -3,9: 49
    0,0: 44
    0,1: 23
    0,10: 214
    0,11: 210
    0,12: 214
    0,13: 214
    0,2: 21
    0,3: 21
    0,4: 21
    0,5: 21
    0,6: 3
    0,7: 49
    0,8: 9
    0,9: 65
    1,0: 214
    1,1: 214
    1,10: 210
    1,11: 214
    1,12: 214
    1,13: 214
    1,2: 44
    1,3: 23
    1,4: 23
    1,5: 2
    1,6: 49
    1,7: 9
    1,8: 63
    1,9: 214
    10,0: 214
    10,1: 232
    10,10: 44
    10,11: 23
    10,12: 22
    10,13: 0
    10,2: 43
    10,3: 1
    10,4: 214
    10,5: 43
    10,6: 0
    10,7: 216
    10,8: 216
    10,9: 216
    11,0: 214
    11,1: 214
    11,10: 214
    11,11: 214
    11,12: 44
    11,13: 1
    11,2: 43
    11,3: 23
    11,4: 24
    11,5: 22
    11,6: 2
    11,7: 232
    11,8: 214
    11,9: 216
    12,0: 214
    12,1: 214
    12,10: 216
    12,11: 216
    12,12: 216
    12,13: 65
    12,2: 65
    12,3: 214
    12,4: 214
    12,5: 65
    12,6: 214
    12,7: 214
    12,8: 214
    12,9: 216
    2,0: 52
    2,1: 31
    2,10: 214
    2,11: 214
    2,12: 45
    2,13: 0
    2,2: 31
    2,3: 31
    2,4: 31
    2,5: 31
    2,6: 9
    2,7: 42
    2,8: 1
    2,9: 210
    3,0: 214
    3,1: 214
    3,10: 214
    3,11: 63
    3,12: 232
    3,13: 65
    3,2: 42
    3,3: 24
    3,4: 24
    3,5: 24
    3,6: 24
    3,7: 22
    3,8: 26
    3,9: 0
    4,0: 214
    4,1: 42
    4,10: 24
    4,11: 22
    4,12: 3
    4,13: 232
    4,2: 1
    4,3: 214
    4,4: 214
    4,5: 213
    4,6: 214
    4,7: 43
    4,8: 22
    4,9: 22
    5,0: 214
    5,1: 43
    5,10: 214
    5,11: 65
    5,12: 232
    5,13: 63
    5,2: 1
    5,3: 214
    5,4: 214
    5,5: 213
    5,6: 214
    5,7: 43
    5,8: 22
    5,9: 1
    6,0: 214
    6,1: 43
    6,10: 214
    6,11: 214
    6,12: 45
    6,13: 2
    6,2: 1
    6,3: 214
    6,4: 214
    6,5: 213
    6,6: 213
    6,7: 43
    6,8: 22
    6,9: 1
    7,0: 45
    7,1: 23
    7,10: 213
    7,11: 214
    7,12: 214
    7,13: 214
    7,2: 23
    7,3: 3
    7,4: 213
    7,5: 213
    7,6: 213
    7,7: 44
    7,8: 23
    7,9: 1
    8,0: 216
    8,1: 216
    8,10: 0
    8,11: 213
    8,12: 214
    8,13: 214
    8,2: 216
    8,3: 235
    8,4: 216
    8,5: 216
    8,6: 216
    8,7: 214
    8,8: 214
    8,9: 43
    9,0: 214
    9,1: 214
    9,10: 22
    9,11: 21
    9,12: 0
    9,13: 214
    9,2: 42
    9,3: 0
    9,4: 214
    9,5: 63
    9,6: 216
    9,7: 216
    9,8: 214
    9,9: 44
}
[UNITS] {
    [Artemis] {
        team: 1
        x: 11
        y: 7
    }
    [Apollo] {
        team: 1
        x: -2
        y: 1
    }
    [Pirate] {
        team: 1
        x: -2
        y: 10
    }
    [Aphrodite] {
        team: 0
        x: 4
        y: 12
    }
    [Hero] {
        team: 0
        x: 4
        y: 13
    }
    [Hoplite] {
        team: 0
        x: 5
        y: 12
    }
    [Hoplite] {
        team: 0
        x: 3
        y: 12
    }
}
