[TILES] {
    -1,-1: 24
    -1,-2: 45
    -1,0: 21
    -1,1: 21
    -1,2: 3
    -3,-2: 65
    -3,2: 65
    -4,-2: 64
    -4,0: 65
    -4,2: 64
    -5,-1: 24
    -5,-2: 42
    -5,0: 21
    -5,1: 24
    -5,2: 0
    0,0: 43
    0,1: 2
    1,-1: 42
    1,0: 2
    2,-1: 1
    2,-2: 42
    3,-1: 23
    3,-2: 44
    3,0: 24
    3,1: 24
    3,2: 3
    5,-1: 24
    5,-2: 42
    5,0: 24
    5,1: 24
    5,2: 0
    6,-2: 64
    6,2: 64
    7,-2: 65
    7,2: 65
    8,-1: 45
    8,0: 24
    8,1: 3
}
[UNITS] {
}
